PROBAB  STACK VIRADA NPARTI BIGBLI NRAISE  NFOLD POSICA    POT STACKM POTTOT DEALER  NJOGO  SAIDA 
0.5766 0.1109 0.8000 0.2000 0.0000 0.7000 0.0348 0.0000 0.0070 0.0348 0.0870 0.4000 1.0000 0.0000 
0.4569 0.1109 1.0000 0.2000 0.0000 0.7000 0.0348 0.0000 0.0070 0.0348 0.0870 0.4000 1.0000 0.0000 
0.1362 0.1071 0.0000 0.5000 0.0000 0.6000 0.0336 0.5000 0.0068 0.0000 0.0504 0.5000 1.0000 0.0000 
0.4775 0.1071 0.0000 0.6000 0.0000 0.5000 0.0336 0.4000 0.0068 0.0000 0.0504 0.6000 1.0000 0.3137 
0.8334 0.0761 0.6000 0.2000 0.0000 0.5000 0.0348 0.0000 0.0070 0.0348 0.0870 0.6000 1.0000 0.0000 
0.8792 0.0761 0.8000 0.2000 0.0000 0.5000 0.0348 0.0000 0.0070 0.0348 0.0870 0.6000 1.0000 0.0000 
0.7130 0.0761 1.0000 0.2000 0.0000 0.5000 0.0348 0.0000 0.0070 0.0348 0.0870 0.6000 1.0000 0.0000 
0.1815 0.1576 0.0000 0.7000 0.0000 0.4000 0.0336 0.3000 0.0068 0.0000 0.0504 0.7000 1.0000 0.0000 
0.3612 0.1576 0.0000 0.8000 0.0000 0.3000 0.0336 0.2000 0.0068 0.0000 0.0504 0.8000 1.0000 0.2133 
0.5541 0.1283 0.6000 0.2000 0.0000 0.3000 0.0348 0.0000 0.0070 0.0348 0.0870 0.8000 1.0000 0.0000 
0.5688 0.1283 0.8000 0.2000 0.0000 0.3000 0.0348 0.0000 0.0070 0.0348 0.0870 0.8000 1.0000 0.0000 
0.4262 0.1283 1.0000 0.2000 0.0000 0.3000 0.0348 0.0000 0.0070 0.0348 0.0870 0.8000 1.0000 0.0000 
0.4262 0.1350 1.0000 0.2000 0.1000 0.3000 0.0366 0.1000 0.0074 0.0366 0.1443 0.8000 1.0000 0.0000 
0.1714 0.1207 0.0000 0.9000 0.0000 0.2000 0.0327 0.1000 0.0000 0.0000 0.0230 0.9000 1.0000 0.0000 
0.3306 0.1239 0.0000 1.0000 0.0000 0.1000 0.0336 0.0000 0.0068 0.0000 0.0504 1.0000 1.0000 0.2712 
0.4724 0.0935 0.6000 0.2000 0.0000 0.1000 0.0348 0.0000 0.0070 0.0348 0.0870 1.0000 1.0000 0.0000 
0.6705 0.0935 0.8000 0.2000 0.0000 0.1000 0.0348 0.0000 0.0070 0.0348 0.0870 1.0000 1.0000 0.0000 
0.9516 0.0935 1.0000 0.2000 0.0000 0.1000 0.0348 0.0000 0.0070 0.0348 0.0870 1.0000 1.0000 0.6900 
0.1608 0.1836 0.0000 0.2000 0.0000 0.9000 0.0708 0.8000 0.0071 0.0354 0.1062 0.2000 1.0000 0.0000 
0.2421 0.1730 0.0000 0.3000 0.0000 0.8000 0.0667 0.7000 0.0000 0.0000 0.0420 0.3000 1.0000 0.3855 
0.1892 0.2242 0.0000 0.4000 0.0000 0.6000 0.0696 0.5000 0.0000 0.0000 0.0868 0.4000 1.0000 0.0000 
0.3588 0.2282 0.0000 0.5000 0.0000 0.5000 0.0708 0.4000 0.0000 0.0000 0.1062 0.6000 1.0000 0.3103 
0.6619 0.1694 0.6000 0.2000 0.0000 0.5000 0.0762 0.0000 0.0000 0.0762 0.1905 0.6000 1.0000 0.0000 
0.5688 0.1694 0.8000 0.2000 0.0000 0.5000 0.0762 0.0000 0.0000 0.0762 0.1905 0.6000 1.0000 0.0000 
0.6427 0.1694 1.0000 0.2000 0.0000 0.5000 0.0762 0.0000 0.0000 0.0762 0.1905 0.6000 1.0000 0.0000 
0.3564 0.3344 0.0000 0.6000 0.0000 0.4000 0.0708 0.3000 0.0000 0.0000 0.1062 0.7000 1.0000 0.2117 
0.8516 0.2837 0.6000 0.2000 0.0000 0.4000 0.0762 0.0000 0.0000 0.0762 0.1905 0.7000 1.0000 0.0000 
